date,time,value
2021-03-08,11:30:29,955701.9375
2021-03-08,11:30:29,955701.9375
2021-03-08,11:30:52,955703.6875
2021-03-08,11:31:04,955704.6875
2021-03-08,11:31:15,955705.625
2021-03-08,11:31:28,955706.625
2021-03-08,11:31:39,955707.5
2021-03-08,11:31:51,955708.4375
2021-03-08,11:32:02,955709.4375
2021-03-08,11:32:14,955710.3125
2021-03-08,11:32:26,955711.1875
2021-03-08,11:32:37,955712.125
2021-03-08,11:32:49,955713.125
2021-03-08,11:33:00,955713.9375
2021-03-08,11:33:12,955714.9375
2021-03-08,11:33:23,955715.8125
2021-03-08,11:33:35,955716.6875
2021-03-08,11:33:46,955717.625
2021-03-08,11:33:57,955718.5
2021-03-08,11:34:09,955719.5
2021-03-08,11:34:20,955720.3125
2021-03-08,11:34:32,955721.3125
2021-03-08,11:34:44,955722.3125
2021-03-08,11:34:55,955723.1875
2021-03-08,11:35:07,955724.125
2021-03-08,11:35:18,955725
2021-03-08,11:35:29,955725.9375
2021-03-08,11:35:41,955726.8125
2021-03-08,11:35:53,955727.8125
2021-03-08,11:36:04,955728.8125
2021-03-08,11:36:16,955729.625
2021-03-08,11:36:27,955730.625
2021-03-08,11:36:39,955731.5
2021-03-08,11:36:51,955732.4375
2021-03-08,11:37:02,955733.3125
2021-03-08,11:37:14,955734.3125
2021-03-08,11:37:25,955735.1875
2021-03-08,11:37:36,955736.125
2021-03-08,11:37:48,955737
2021-03-08,11:38:00,955737.9375
2021-03-08,11:38:12,955738.8125
2021-03-08,11:38:23,955739.6875
2021-03-08,11:38:35,955740.6875
2021-03-08,11:38:46,955741.5
2021-03-08,11:38:58,955742.5
2021-03-08,11:39:10,955743.4375
2021-03-08,11:39:21,955744.3125
2021-03-08,11:39:32,955745.1875
2021-03-08,11:39:44,955746.125
2021-03-08,11:39:56,955747.125
2021-03-08,11:40:08,955748.125
2021-03-08,11:40:19,955748.9375
2021-03-08,11:40:31,955749.9375
2021-03-08,11:40:43,955750.8125
2021-03-08,11:40:55,955751.8125
2021-03-08,11:41:06,955752.6875
2021-03-08,11:41:18,955753.625
2021-03-08,11:41:29,955754.5
2021-03-08,11:41:41,955755.5
2021-03-08,11:41:53,955756.4375
2021-03-08,11:42:04,955757.4375
2021-03-08,11:42:15,955758.1875
2021-03-08,11:42:27,955759.125
2021-03-08,11:42:39,955760.1875
2021-03-08,11:42:51,955761
2021-03-08,11:43:03,955762
2021-03-08,11:43:15,955763
2021-03-08,11:43:26,955763.8125
2021-03-08,11:43:38,955764.8125
2021-03-08,11:43:50,955765.8125
2021-03-08,11:44:01,955766.625
2021-03-08,11:44:13,955767.625
2021-03-08,11:44:25,955768.5
2021-03-08,11:44:36,955769.4375
2021-03-08,11:44:48,955770.4375
2021-03-08,11:44:59,955771.3125
2021-03-08,11:45:11,955772.1875
2021-03-08,11:45:23,955773.1875
2021-03-08,11:45:35,955774.125
2021-03-08,11:45:46,955775
2021-03-08,11:45:58,955776
2021-03-08,11:46:09,955776.9375
2021-03-08,11:46:20,955777.8125
2021-03-08,11:46:32,955778.6875
2021-03-08,11:46:44,955779.6875
2021-03-08,11:46:56,955780.625
2021-03-08,11:47:07,955781.5
2021-03-08,11:47:18,955782.4375
2021-03-08,11:47:30,955783.3125
2021-03-08,11:47:41,955784.1875
2021-03-08,11:47:54,955785.1875
2021-03-08,11:48:06,955786.1875
2021-03-08,11:48:17,955787.125
2021-03-08,11:48:30,955788.125
2021-03-08,11:48:41,955789
2021-03-08,11:48:53,955789.9375
2021-03-08,11:49:05,955790.9375
2021-03-08,11:49:17,955791.9375
2021-03-08,11:49:30,955792.9375
2021-03-08,11:49:41,955793.8125
2021-03-08,11:49:53,955794.625
2021-03-08,11:50:05,955795.6875
2021-03-08,11:50:16,955796.5
2021-03-08,11:50:28,955797.5
2021-03-08,11:50:40,955798.5
2021-03-08,11:50:52,955799.4375
2021-03-08,11:51:04,955800.4375
2021-03-08,11:51:16,955801.3125
2021-03-08,11:51:27,955802.1875
2021-03-08,11:51:39,955803.1875
2021-03-08,11:51:51,955804.125
2021-03-08,11:52:02,955805
2021-03-08,11:52:13,955805.9375
2021-03-08,11:52:24,955806.6875
2021-03-08,11:52:36,955807.6875
2021-03-08,11:52:48,955808.6875
2021-03-08,11:53:00,955809.625
2021-03-08,11:53:11,955810.5
2021-03-08,11:53:24,955811.625
2021-03-08,11:53:35,955812.4375
2021-03-08,11:53:46,955813.3125
2021-03-08,11:53:58,955814.3125
2021-03-08,11:54:10,955815.3125
2021-03-08,11:54:21,955816.125
2021-03-08,11:54:33,955817.125
2021-03-08,11:54:44,955818
2021-03-08,11:54:56,955818.9375
2021-03-08,11:55:07,955819.8125
2021-03-08,11:55:19,955820.8125
2021-03-08,11:55:30,955821.6875
2021-03-08,11:55:42,955822.6875
2021-03-08,11:55:54,955823.625
2021-03-08,11:56:06,955824.5
2021-03-08,11:56:17,955825.5
2021-03-08,11:56:29,955826.5
2021-03-08,11:56:41,955827.4375
2021-03-08,11:56:52,955828.3125
2021-03-08,11:57:04,955829.3125
2021-03-08,11:57:15,955830.1875
2021-03-08,11:57:26,955831.125
2021-03-08,11:57:37,955832
2021-03-08,11:57:49,955832.9375
2021-03-08,11:58:01,955833.8125
2021-03-08,11:58:12,955834.8125
2021-03-08,11:58:24,955835.8125
2021-03-08,11:58:36,955836.6875
2021-03-08,11:58:47,955837.625
2021-03-08,11:58:59,955838.625
2021-03-08,11:59:11,955839.5
2021-03-08,11:59:22,955840.5
2021-03-08,11:59:34,955841.4375
2021-03-08,11:59:45,955842.3125
2021-03-08,11:59:57,955843.3125
2021-03-08,12:00:09,955844.3125
2021-03-08,12:00:20,955845.1875
2021-03-08,12:00:31,955846.125
2021-03-08,12:00:43,955847.125
2021-03-08,12:00:55,955848.125
2021-03-08,12:01:06,955849
2021-03-08,12:01:17,955849.9375
2021-03-08,12:01:30,955850.9375
2021-03-08,12:01:41,955851.8125
2021-03-08,12:01:53,955852.8125
2021-03-08,12:02:04,955853.6875
2021-03-08,12:02:16,955854.625
2021-03-08,12:02:27,955855.625
2021-03-08,12:02:40,955856.625
2021-03-08,12:02:51,955857.5
2021-03-08,12:03:02,955858.4375
2021-03-08,12:03:15,955859.5
2021-03-08,12:03:28,955860.5
2021-03-08,12:03:39,955861.5
2021-03-08,12:03:50,955862.4375
2021-03-08,12:04:02,955863.3125
2021-03-08,12:04:14,955864.1875
2021-03-08,12:04:25,955865.1875
2021-03-08,12:04:36,955866.125
2021-03-08,12:04:49,955867.125
2021-03-08,12:05:00,955868.125
2021-03-08,12:05:11,955869
2021-03-08,12:05:22,955869.9375
2021-03-08,12:05:35,955870.9375
2021-03-08,12:05:45,955871.8125
2021-03-08,12:05:57,955872.6875
2021-03-08,12:06:08,955873.6875
2021-03-08,12:06:20,955874.6875
2021-03-08,12:06:32,955875.625
2021-03-08,12:06:44,955876.625
2021-03-08,12:06:55,955877.625
2021-03-08,12:07:06,955878.5
2021-03-08,12:07:18,955879.5
2021-03-08,12:07:29,955880.4375
2021-03-08,12:07:41,955881.4375
2021-03-08,12:07:53,955882.3125
2021-03-08,12:08:05,955883.3125
2021-03-08,12:08:16,955884.1875
2021-03-08,12:08:27,955885.1875
2021-03-08,12:08:39,955886.125
2021-03-08,12:08:50,955887.125
2021-03-08,12:09:02,955888
2021-03-08,12:09:14,955889
2021-03-08,12:09:25,955890
2021-03-08,12:09:36,955890.9375
2021-03-08,12:09:49,955891.9375
2021-03-08,12:10:00,955892.9375
2021-03-08,12:10:12,955893.9375
2021-03-08,12:10:24,955894.9375
2021-03-08,12:10:36,955895.8125
2021-03-08,12:10:47,955896.8125
2021-03-08,12:11:00,955897.8125
2021-03-08,12:11:11,955898.8125
2021-03-08,12:11:22,955899.6875
2021-03-08,12:11:34,955900.6875
2021-03-08,12:11:46,955901.6875
2021-03-08,12:11:57,955902.625
2021-03-08,12:12:09,955903.5
2021-03-08,12:12:20,955904.5
2021-03-08,12:12:31,955905.4375
2021-03-08,12:12:43,955906.4375
2021-03-08,12:12:55,955907.3125
2021-03-08,12:13:07,955908.3125
2021-03-08,12:13:19,955909.3125
2021-03-08,12:13:30,955910.1875
2021-03-08,12:13:41,955911.1875
2021-03-08,12:13:53,955912.1875
2021-03-08,12:14:05,955913.125
2021-03-08,12:14:16,955914.125
2021-03-08,12:14:27,955915
2021-03-08,12:14:40,955916
2021-03-08,12:14:51,955916.9375
2021-03-08,12:15:02,955917.8125
2021-03-08,12:15:15,955918.9375
2021-03-08,12:15:27,955919.8125
2021-03-08,12:15:38,955920.8125
2021-03-08,12:15:50,955921.8125
2021-03-08,12:16:02,955922.8125
2021-03-08,12:16:13,955923.6875
2021-03-08,12:16:26,955924.6875
2021-03-08,12:16:37,955925.625
2021-03-08,12:16:48,955926.5
2021-03-08,12:16:59,955927.4375
2021-03-08,12:17:11,955928.4375
2021-03-08,12:17:22,955929.3125
2021-03-08,12:17:34,955930.3125
2021-03-08,12:17:46,955931.1875
2021-03-08,12:17:57,955932.125
2021-03-08,12:18:09,955933.125
2021-03-08,12:18:21,955933.9375
2021-03-08,12:18:32,955934.8125
2021-03-08,12:18:44,955935.6875
2021-03-08,12:18:55,955936.5
2021-03-08,12:19:07,955937.4375
2021-03-08,12:19:18,955938.1875
2021-03-08,12:19:31,955939.125
2021-03-08,12:19:43,955939.9375
2021-03-08,12:19:55,955940.8125
2021-03-08,12:20:07,955941.625
2021-03-08,12:20:18,955942.5
2021-03-08,12:20:30,955943.3125
2021-03-08,12:20:41,955944.1875
2021-03-08,12:20:52,955945.125
2021-03-08,12:21:04,955945.9375
2021-03-08,12:21:16,955946.8125
2021-03-08,12:21:27,955947.625
2021-03-08,12:21:38,955948.5
2021-03-08,12:21:50,955949.5
2021-03-08,12:22:02,955950.4375
2021-03-08,12:22:13,955951.1875
2021-03-08,12:22:25,955952.125
2021-03-08,12:22:36,955952.9375
2021-03-08,12:22:48,955953.6875
2021-03-08,12:23:00,955954.625
2021-03-08,12:23:11,955955.3125
2021-03-08,12:23:23,955956.1875
2021-03-08,12:23:34,955957.125
2021-03-08,12:23:46,955957.9375
2021-03-08,12:23:58,955958.8125
2021-03-08,12:24:10,955959.625
2021-03-08,12:24:21,955960.4375
2021-03-08,12:24:33,955961.1875
2021-03-08,12:24:44,955962.125
2021-03-08,12:24:56,955963
2021-03-08,12:25:07,955963.8125
2021-03-08,12:25:20,955964.625
2021-03-08,12:25:31,955965.5
2021-03-08,12:25:42,955966.3125
2021-03-08,12:25:54,955967.125
2021-03-08,12:26:06,955967.9375
2021-03-08,12:26:17,955968.8125
2021-03-08,12:26:30,955969.8125
2021-03-08,12:26:42,955970.625
2021-03-08,12:26:52,955971.4375
2021-03-08,12:27:05,955972.3125
2021-03-08,12:27:17,955973.1875
2021-03-08,12:27:28,955974.125
2021-03-08,12:27:40,955975
2021-03-08,12:27:51,955975.9375
2021-03-08,12:28:03,955976.6875
2021-03-08,12:28:15,955977.625
2021-03-08,12:28:26,955978.4375
2021-03-08,12:28:38,955979.3125
2021-03-08,12:28:50,955980.1875
2021-03-08,12:29:01,955981.125
2021-03-08,12:29:12,955981.9375
2021-03-08,12:29:24,955982.6875
2021-03-08,12:29:36,955983.625
2021-03-08,12:29:47,955984.4375
2021-03-08,12:29:59,955985.1875
2021-03-08,12:30:11,955986.125
2021-03-08,12:30:22,955986.8125
2021-03-08,12:30:35,955987.6875
2021-03-08,12:30:46,955988.4375
2021-03-08,12:30:57,955989.1875
2021-03-08,12:31:10,955990.125
2021-03-08,12:31:21,955990.8125
2021-03-08,12:31:32,955991.625
2021-03-08,12:31:45,955992.4375
2021-03-08,12:31:57,955993.3125
2021-03-08,12:32:09,955994.125
2021-03-08,12:32:21,955994.9375
2021-03-08,12:32:32,955995.6875
2021-03-08,12:32:44,955996.5
2021-03-08,12:32:55,955997.3125
2021-03-08,12:33:07,955998.125
2021-03-08,12:33:18,955998.9375
2021-03-08,12:33:30,955999.8125
2021-03-08,12:33:42,956000.625
2021-03-08,12:33:54,956001.4375
2021-03-08,12:34:06,956002.4375
2021-03-08,12:34:18,956003.1875
2021-03-08,12:34:31,956004.125
2021-03-08,12:34:42,956004.9375
2021-03-08,12:34:54,956005.8125
2021-03-08,12:35:06,956006.625
2021-03-08,12:35:17,956007.5
2021-03-08,12:35:29,956008.4375
2021-03-08,12:35:41,956009.3125
2021-03-08,12:35:52,956010.1875
2021-03-08,12:36:06,956011.1875
2021-03-08,12:36:17,956012.125
2021-03-08,12:36:28,956012.9375
2021-03-08,12:36:40,956013.8125
2021-03-08,12:36:51,956014.6875
2021-03-08,12:37:03,956015.625
2021-03-08,12:37:16,956016.6875
2021-03-08,12:37:26,956017.5
2021-03-08,12:37:38,956018.4375
2021-03-08,12:37:50,956019.4375
2021-03-08,12:38:02,956020.1875
2021-03-08,12:38:13,956021.125
2021-03-08,12:38:25,956022
2021-03-08,12:38:36,956022.9375
2021-03-08,12:38:47,956023.8125
2021-03-08,12:39:00,956024.6875
2021-03-08,12:39:12,956025.6875
2021-03-08,12:39:24,956026.625
2021-03-08,12:39:36,956027.625
2021-03-08,12:39:48,956028.5
2021-03-08,12:40:00,956029.4375
2021-03-08,12:40:12,956030.4375
2021-03-08,12:40:24,956031.4375
2021-03-08,12:40:36,956032.4375
2021-03-08,12:40:49,956033.3125
2021-03-08,12:41:01,956034.3125
2021-03-08,12:41:12,956035.1875
2021-03-08,12:41:25,956036.1875
2021-03-08,12:41:36,956037.125
2021-03-08,12:41:48,956038.125
2021-03-08,12:42:00,956039
2021-03-08,12:42:11,956039.9375
2021-03-08,12:42:24,956040.9375
2021-03-08,12:42:36,956041.8125
2021-03-08,12:42:47,956042.8125
2021-03-08,12:42:58,956043.6875
2021-03-08,12:43:11,956044.625
2021-03-08,12:43:22,956045.5
2021-03-08,12:43:34,956046.5
2021-03-08,12:43:46,956047.4375
2021-03-08,12:43:57,956048.4375
2021-03-08,12:44:09,956049.3125
2021-03-08,12:44:21,956050.1875
2021-03-08,12:44:32,956051.125
2021-03-08,12:44:44,956052
2021-03-08,12:44:56,956053
2021-03-08,12:45:08,956053.9375
2021-03-08,12:45:20,956054.9375
2021-03-08,12:45:32,956055.8125
2021-03-08,12:45:43,956056.6875
2021-03-08,12:45:56,956057.6875
2021-03-08,12:46:08,956058.625
2021-03-08,12:46:20,956059.625
2021-03-08,12:46:32,956060.5
2021-03-08,12:46:43,956061.4375
2021-03-08,12:46:55,956062.4375
2021-03-08,12:47:08,956063.3125
2021-03-08,12:47:19,956064.1875
2021-03-08,12:47:31,956065.125
2021-03-08,12:47:43,956066
2021-03-08,12:47:55,956066.9375
2021-03-08,12:48:06,956067.8125
2021-03-08,12:48:18,956068.6875
2021-03-08,12:48:30,956069.625
2021-03-08,12:48:42,956070.5
2021-03-08,12:48:53,956071.3125
2021-03-08,12:49:04,956072.3125
2021-03-08,12:49:17,956073.1875
2021-03-08,12:49:29,956074
2021-03-08,12:49:40,956074.9375
2021-03-08,12:49:53,956075.8125
2021-03-08,12:50:04,956076.6875
2021-03-08,12:50:16,956077.625
2021-03-08,12:50:29,956078.4375
2021-03-08,12:50:40,956079.1875
2021-03-08,12:50:52,956080.125
2021-03-08,12:51:04,956081
2021-03-08,12:51:16,956081.9375
2021-03-08,12:51:28,956082.6875
2021-03-08,12:51:40,956083.625
2021-03-08,12:51:52,956084.625
2021-03-08,12:52:04,956085.4375
2021-03-08,12:52:16,956086.3125
2021-03-08,12:52:28,956087.1875
2021-03-08,12:52:40,956088
2021-03-08,12:52:52,956088.9375
2021-03-08,12:53:04,956089.8125
2021-03-08,12:53:16,956090.625
2021-03-08,12:53:28,956091.5
2021-03-08,12:53:39,956092.3125
2021-03-08,12:53:51,956093.125
2021-03-08,12:54:03,956093.9375
2021-03-08,12:54:15,956094.8125
2021-03-08,12:54:27,956095.625
2021-03-08,12:54:39,956096.4375
2021-03-08,12:54:50,956097.1875
2021-03-08,12:55:02,956098
2021-03-08,12:55:14,956098.8125
2021-03-08,12:55:25,956099.5
2021-03-08,12:55:37,956100.4375
2021-03-08,12:55:49,956101.125
2021-03-08,12:56:00,956101.9375
2021-03-08,12:56:12,956102.6875
2021-03-08,12:56:24,956103.5
2021-03-08,12:56:36,956104.4375
2021-03-08,12:56:48,956105.3125
2021-03-08,12:57:00,956106.125
2021-03-08,12:57:11,956106.9375
2021-03-08,12:57:23,956107.6875
2021-03-08,12:57:35,956108.6875
