,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,-0.9375,-3.40625,0.75,1.1874999999999858,-5.359375,1.3125,5.03125,9.25,1.734375,38.5,-43.875,6.0,6.75,3.75,8.625,8.4375,15.375,12.375,8.0625,6.75,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125
1,-2.75,1.46875,1.546875,-4.312500000000014,2.203125,5.53125,9.203125,2.0625,34.828125,-39.90625,5.484375,6.75,3.75,8.625,8.4375,15.375,12.375,8.0625,6.75,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375
2,4.125,3.6875,-1.640625,4.562499999999986,7.34375,10.3125,3.390625,32.0,-35.25,5.5,6.265625,3.75,8.625,8.4375,15.375,12.375,8.0625,6.75,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25
3,-0.34375,-4.53125,1.96875,4.812499999999986,7.6875,1.59375,26.65625,-32.5,4.21875,5.09375,3.0625,8.625,8.4375,15.375,12.375,8.0625,6.75,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625
4,-3.46875,2.90625,5.390625,7.749999999999986,2.0625,23.15625,-28.328125,3.9375,4.5,2.53125,8.125,8.4375,15.375,12.375,8.0625,6.75,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875
5,6.0625,8.0,9.65625,4.187499999999986,21.125,-22.875,4.75,4.8125,2.71875,8.15625,7.90625,15.375,12.375,8.0625,6.75,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125
6,2.203125,3.96875,-0.46875,13.124999999999986,-22.578125,1.21875,1.59375,0.1875,6.28125,6.28125,14.1875,12.375,8.0625,6.75,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375
7,1.484375,-2.3125,7.546875,-20.25,-0.671875,-0.375,-1.484375,4.875,4.734375,12.6875,11.28125,8.0625,6.75,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125
8,-3.265625,2.75,-17.25,-2.000000000000014,-1.890625,-2.8125,3.703125,3.3125,11.203125,10.09375,6.90625,6.75,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625
9,1.8125,-10.75,-0.1875,-0.6250000000000142,-1.71875,4.59375,3.59375,11.0625,9.890625,6.375,6.546875,4.5,6.0,2.25,6.5625,9.0,10.6875,-3.0,-1.875,7.5,-6.5625,4.875,14.0625,-3.0,12.0,17.4375,-9.75,4.125,23.625,21.9375,39.0,25.6875,-1.3125,-1.125,2.0625,21.1875,31.6875,-2.4375,25.875,39.9375,1.5,-9.0,4.6875,2.25,-0.5625,-20.0625,-19.5,-17.0625,5.8125,-38.0625,-38.8125,-36.375,-41.25,17.625,12.1875,-22.125,-45.9375,-22.3125,-2.0625,22.3125
